Tim Loughton,timloughton,Conservative,East Worthing and Shoreham,108587399,,,,,
Toby Perkins,tobyperkinsmp,Labour,Chesterfield,61733092,,,,,
Tom Watson,tom_watson,Labour,West Bromwich East,14190551,,,1919,,
Tom Blenkinsop,tomblenkinsop,Labour,Middlesbrough South and East Cleveland,131970620,,,,,
Tom Greatrex,tomgreatrexmp,Labour,Rutherglen and Hamilton West,198912426,,,,,
Tom Harris,tomharrismp,Labour,Glasgow South,360501349,,,1990,,
Tom Levitt,tomlevittmp,Labour,,,,,1637,,
Tony Baldry,tonybaldry,Conservative,Banbury,85110055,,,,,
Tony Lloyd,tonylloydmp,Labour,Manchester Central,23452834,,,,,
Matthew Hancock,torymatt,Conservative,West Suffolk,346503132,,,,,
Teresa Pearce,tpearce003,Labour,Erith and Thamesmead,14146330,,,,,
Tracey Crouch,tracey_crouch,Conservative,Chatham and Aylesford,62613162,,,,,
Elizabeth Truss,trussliz,Conservative,South West Norfolk,65357102,,,,,
Brooks Newmark,tweetbrooks,Conservative,Braintree,48988168,,,,,
Vera Baird,verabaird,Labour,,97868229,,,1775,,
Vincent Cable,vincecable,Liberal Democrats,,56999787,,,1885,,
Virendra Sharma,virendrasharma,Labour,,23452598,,,2027,,
Ann Widdecombe,widdecombepp,Conservative,,92246323,,,1701,,
Willie Rennie,willierenniemp,Liberal Democrats,,108602527,,,2021,,
Derek Wyatt,wyattd,Labour,,13780252,,,1819,,
